Word,Length,Use_rate
abies_lowiana,12,333335
abies_venusta,12,333336
abila,5,333337
abilene,7,20974
ability,7,1589
abiogenesis,11,125075
abiogenist,10,333338
abiotrophy,10,333339
abjection,9,298354
abjuration,10,185292
abjurer,7,333340
abkhas,6,333341
abkhasian,9,333342
abkhaz,6,121055
abkhazia,8,66411
abkhazian,9,102383
ablactation,11,333343
ablation,8,34314
ablative,8,100051
ablative_absolute,16,333344
ablative_case,12,333345
ablaut,6,333346
able-bodied_seaman,17,333347
able-bodiedism,14,333348
able-bodism,11,333349
able_seaman,10,333350
ableism,7,333351
ablepharia,10,333352
ablism,6,333353
abls,4,333354
ablution,8,82972
abm,3,36791
abnaki,6,333355
abnegation,10,221244
abnegator,9,333356
abney_level,10,333357
abnormal_psychology,18,333358
abnormalcy,10,333359
abnormality,11,37623
abo_antibodies,13,333360
abo_blood_group_system,19,333361
abo_group,8,333362
abo_system,9,333363
abocclusion,11,333364
abode,5,23126
abohm,5,333365
abolishment,11,107908
abolition,9,24460
abolitionism,12,170792
abolitionist,12,62450
abomasum,8,333366
abominable_snowman,17,333367
abomination,11,45160
abominator,10,333368
abor,4,106853
aboriginal,10,7983
aboriginal_australian,20,333369
aborigine,9,103117
abort,5,20237
aborticide,10,333370
abortifacient,13,172142
abortion,8,6474
abortion-inducing_drug,21,333371
abortion_pill,12,333372
abortionist,11,124424
abortus,7,110859
aboulia,7,333373
about-face,10,333374
about_turn,9,333375
above,5,547
abracadabra,11,71859
abrachia,8,333376
abradant,8,333377
abrader,7,333378
abrading_stone,13,333379
abraham,7,9043
abraham's_bosom,14,333380
abraham_lincoln,14,333381
abraham_stoker,13,333382
abramis,7,333383
abramis_brama,12,333384
abrasion,8,29356
abrasive,8,23129
abrasive_material,16,333385
abrasiveness,12,333386
abreaction,10,333387
abridgement,11,137337
abridger,8,333388
abridgment,10,134784
abrocoma,8,333389
abrocome,8,333390
abrogation,10,85998
abrogator,9,333391
abronia,7,263671
abronia_elliptica,16,333392
abronia_fragrans,15,333393
abronia_latifolia,16,333394
abronia_maritima,15,333395
abronia_umbellata,16,333396
abronia_villosa,14,333397
abruptio_placentae,17,333398
abruption,9,179025
abruptly-pinnate_leaf,20,333399
abruptness,10,196689
abruzzi,7,104977
abruzzi_e_molise,14,333400
abs,3,7354
abscess,7,37807
abscessed_tooth,14,333401
abscissa,8,115475
abscission,10,229805
absconder,9,314956
abscondment,11,333402
abseil,6,134188
abseiler,8,333403
absence,7,4642
absence_seizure,14,333404
absence_without_leave,19,333405
absentee,8,23207
absentee_ballot,14,333406
absentee_rate,12,333407
absenteeism,11,44570
absentmindedness,16,333408
absinth,7,106205
absinthe,8,35444
absinthe_oil,11,333409
absolute,8,4304
absolute_alcohol,15,333410
absolute_ceiling,15,333411
absolute_frequency,17,333412
absolute_magnitude,17,333413
absolute_majority,16,333414
absolute_pitch,13,333415
absolute_scale,13,333416
absolute_space,13,333417
absolute_temperature,19,333418
absolute_threshold,17,333419
absolute_value,13,333420
absolute_viscosity,17,333421
absolute_zero,12,333422
absoluteness,12,250499
absolution,10,57038
absolutism,10,90320
absolutist,10,91527
absolver,8,333423
absorbance,10,50947
absorbate,9,333424
absorbency,10,98212
absorbent,9,30178
absorbent_cotton,15,333425
absorbent_material,17,333426
absorber,8,30528
absorptance,11,333427
absorption,10,9691
absorption_band,14,333428
absorption_coefficient,21,333429
absorption_factor,16,333430
absorption_indicator,19,333431
absorption_spectrum,18,333432
absorption_unit,14,333433
absorptivity,12,257856
abstainer,9,333434
abstemiousness,14,333435
abstention,10,64813
abstinence,10,24124
abstinent,9,129529
abstract,8,1475
abstract_art,11,333436
abstract_artist,14,333437
abstract_entity,14,333438
abstract_expressionism,21,333439
abstract_thought,15,333440
abstractedness,14,333441
abstracter,10,333442
abstraction,11,15864
abstractionism,14,333443
abstractionist,14,333444
abstractness,12,194988
abstractor,10,172607
abstruseness,12,333445
abstrusity,10,333446
absurd,6,16818
absurdity,9,37614
absurdness,10,333447
abu_ali_al-husain_ibn_abdallah_ibn_sina,33,333448
abu_dhabi,8,333449
abu_hafs_al-masri_brigades,23,333450
abu_nidal_organization,20,333451
abu_sayyaf,9,333452
abudefduf,9,333453
abudefduf_saxatilis,18,333454
abuja,5,51467
abukir,6,333455
abukir_bay,9,333456
abul-walid_mohammed_ibn-ahmad_ibn-mohammed_ibn-roshd,48,333457
abulia,6,333458
abundance,9,10239
abuse,5,2225
abuser,6,43402
abutilon,8,163576
abutilon_theophrasti,19,333459
abutment,8,71072
abutment_arch,12,333460
abutter,7,296528
abvolt,6,333461
abwatt,6,333462
aby_moritz_warburg,16,333463
aby_warburg,10,333464
abydos,6,115444
abyla,5,333465
abysm,5,333466
abyss,5,24213
abyssal_zone,11,333467
abyssinia,9,109918
abyssinian,10,86215
abyssinian_banana,16,333468
abyssinian_cat,13,333469
acacia,6,25651
acacia_auriculiformis,20,333470
acacia_cambegei,14,333471
acacia_catechu,13,333472
acacia_dealbata,14,333473
acacia_farnesiana,16,333474
acacia_melanoxylon,17,333475
acacia_pycnantha,15,333476
acacia_xanthophloea,18,333477
academe,7,45749
academia,8,16577
academic,8,1506
academic_administrator,21,333478
academic_costume,15,333479
academic_degree,14,333480
academic_department,18,333481
academic_freedom,15,333482
academic_gown,12,333483
academic_program,15,333484
academic_relation,16,333485
academic_requirement,19,333486
academic_robe,12,333487
academic_session,15,333488
academic_term,12,333489
academic_year,12,333490
academician,11,88377
academicianship,15,333491
academicism,11,333492
academism,9,333493
academy,7,2725
academy_award,12,333494
academy_of_motion_picture_arts_and_sciences,37,333495
academy_of_television_arts_and_sciences,34,333496
acadia,6,29351
acadia_national_park,18,333497
acadian,7,47769
acalypha,8,256227
acalypha_virginica,17,333498
acantha,7,333499
acanthaceae,11,213919
acanthion,9,333500
acanthisitta,12,333501
acanthisitta_chloris,19,333502
acanthisittidae,15,333503
acanthocephala,14,333504
acanthocephalan,15,333505
acanthocereus,13,333506
acanthocereus_pentagonus,23,333507
acanthocereus_tetragonus,23,333508
acanthocybium,13,333509
acanthocybium_solandri,21,333510
acanthocyte,11,333511
acanthocytosis,14,333512
acantholysis,12,333513
acanthoma,9,333514
acanthophis,11,333515
acanthophis_antarcticus,22,333516
acanthopterygian,16,333517
acanthopterygii,15,333518
acanthoscelides,15,333519
