Username,TypeOfGame,Result,Date,Accuracy%
Amir2598,Game1,Lose,2024-01-06 13:51:53,50
Yfat9326,Game2,Lose,2023-12-09 01:07:08,90
Shani3433,Game2,Lose,2024-01-05 17:24:32,5
Shmuel7323,Game1,Win,2024-03-01 05:47:12,90
Sarit3910,Game2,Win,2024-02-23 08:57:27,40
Sarit3910,Game2,Lose,2024-02-18 09:13:59,45
Yitzhak6656,Game2,Win,2023-12-24 15:58:17,0
Bracha3350,Game1,Lose,2023-12-03 17:36:47,30
Noam8049,Game1,Lose,2024-02-13 02:24:49,60
Yfat1672,Game1,Win,2024-01-26 12:39:55,30
Amalia,Game2,Lose,2024-01-14 17:44:14,25
Ilanit657,Game1,Lose,2023-12-16 00:26:11,50
Tuvia,Game2,Win,2024-02-04 21:11:51,50
Eli,Game1,Lose,2024-02-12 04:30:30,0
Tamar3964,Game2,Lose,2023-12-16 16:23:33,25
Yiftach8620,Game1,Win,2023-12-04 15:58:08,85
Yonina,Game2,Win,2024-01-19 17:37:55,30
Yifat,Game1,Lose,2024-03-03 20:43:03,95
Yariv9259,Game2,Lose,2024-02-17 12:25:08,10
Eitan7600,Game2,Lose,2024-01-23 01:23:40,100
Yehudit848,Game1,Lose,2024-02-21 02:25:52,5
Tova9153,Game1,Lose,2024-02-10 02:05:22,35
Yossi8980,Game2,Lose,2023-12-06 13:47:14,10
Amira,Game2,Win,2024-02-10 19:34:01,55
Udi5857,Game2,Lose,2023-12-12 23:51:43,5
Chaya9289,Game2,Win,2023-12-08 20:46:25,10
Arik5308,Game2,Lose,2024-01-07 22:54:00,85
Nir8054,Game2,Win,2023-12-01 18:35:22,35
Yossi4647,Game2,Win,2024-01-29 12:27:57,50
Erez1282,Game2,Win,2024-02-04 12:47:45,60
Yaniv,Game2,Win,2024-02-29 12:39:42,75
Omri,Game1,Win,2024-02-25 03:28:32,35
Rachel9622,Game1,Lose,2024-02-28 13:33:06,50
Amalia5072,Game1,Win,2023-12-07 21:27:00,10
Lilach1093,Game2,Lose,2024-01-26 11:12:10,80
Oz,Game2,Lose,2023-12-08 13:52:59,10
Leah5996,Game2,Lose,2024-02-25 15:37:05,0
Hadar5386,Game2,Win,2024-02-04 16:51:40,65
Asaf,Game1,Lose,2024-01-01 11:50:33,80
Dana5937,Game1,Win,2024-01-29 05:29:20,75
Dafna9083,Game1,Win,2024-01-12 11:39:13,45
Moran134,Game1,Lose,2023-12-10 02:19:46,35
Ayelet6650,Game2,Lose,2024-02-14 09:55:31,40
Ami4562,Game1,Lose,2024-01-24 09:18:41,100
Orly3565,Game2,Win,2024-01-12 05:33:33,10
Shir7447,Game2,Win,2023-12-22 02:59:08,85
Oded,Game1,Win,2024-01-19 21:26:42,50
Zeev4451,Game2,Lose,2024-01-09 11:52:27,0
Yoni9963,Game1,Win,2024-01-02 05:05:09,25
Shani1927,Game1,Lose,2024-01-18 00:23:13,5
Chen,Game1,Win,2024-02-22 21:58:51,20
Yoav1646,Game1,Win,2024-02-09 07:45:16,20
Sarit,Game2,Win,2023-12-09 22:34:29,85
Eran,Game2,Win,2024-01-06 08:56:29,15
Rachel2818,Game2,Lose,2024-01-08 09:29:45,70
Noam8049,Game2,Lose,2024-02-04 03:16:59,85
Noam,Game2,Lose,2024-01-09 17:24:30,35
Yechiel2379,Game1,Win,2023-12-18 15:11:39,35
Yanai948,Game2,Lose,2023-12-25 07:06:39,15
Yiftach1646,Game2,Lose,2023-12-02 18:07:35,55
Avi6572,Game1,Win,2024-01-18 11:25:08,20
Yitzhak4371,Game2,Win,2024-02-09 09:18:51,40
Orit3713,Game2,Win,2024-02-19 00:22:01,50
Aviad8406,Game2,Win,2024-03-04 02:14:34,10
Itai,Game2,Win,2023-12-09 02:51:55,30
Omri5963,Game1,Win,2024-01-08 01:12:02,20
Orly,Game1,Lose,2024-02-23 04:58:01,80
Osnat3192,Game1,Lose,2024-02-08 12:29:22,75
Esti5198,Game2,Lose,2023-12-06 00:57:13,10
Rachel2818,Game2,Win,2024-02-23 07:29:41,50
Noam8049,Game1,Win,2023-12-15 20:32:33,65
Alon1477,Game2,Lose,2024-01-17 00:37:35,85
Roi1325,Game1,Lose,2024-01-25 22:04:59,5
Hadar2614,Game1,Win,2024-01-22 06:23:45,85
Limor,Game2,Win,2024-01-09 23:44:51,15
Hadar,Game2,Lose,2023-12-03 09:55:53,85
Yiftach7472,Game2,Lose,2024-02-06 20:51:33,5
Noa1394,Game1,Lose,2024-01-01 08:44:06,15
Erez1282,Game2,Win,2024-02-04 15:29:19,80
Itai,Game1,Win,2024-02-06 06:54:50,80
Moran3490,Game2,Win,2023-12-15 09:48:57,5
Yariv,Game1,Lose,2024-03-03 15:44:48,15
Yariv,Game2,Win,2024-01-25 16:54:59,0
Amos,Game2,Win,2024-01-27 19:15:13,100
Alon6049,Game2,Lose,2023-12-11 00:45:51,45
Tova9153,Game1,Win,2023-12-20 18:07:27,25
Sigal5046,Game2,Win,2024-01-07 06:46:35,15
Gadi8688,Game1,Lose,2024-02-24 02:07:45,95
Ziva,Game2,Lose,2024-01-09 02:24:13,20
Rina6716,Game1,Win,2024-01-20 12:20:47,40
Yuval871,Game1,Lose,2024-02-09 12:41:24,85
Zvi,Game1,Win,2024-01-02 23:07:34,0
Yehuda,Game1,Win,2024-01-11 12:13:29,30
