Word,Index
abruptio_placentae,14077584
abruption,1070452
abruptly-pinnate_leaf,13181014
abruptness,4922639
abruptness,5076793
abruptness,5067645
abruzzi,8822006
abruzzi_e_molise,8822006
abs,14616208
abscess,14335599
abscessed_tooth,14335790
abscissa,6020938
abscission,13444952
abscission,393517
absconder,9774572
abscondment,56453
abseil,327635
abseiler,9776780
absence,13984260
absence,1236910
absence,15295848
absence,14111894
absence_seizure,14111894
absence_without_leave,56613
absentee,9776984
absentee_ballot,6488244
absentee_rate,13839973
absenteeism,1237093
absentmindedness,5709174
absinth,7924651
absinthe,11949946
absinthe,7924651
absinthe_oil,14918032
absolute,5863039
absolute_alcohol,14733952
absolute_ceiling,5140092
absolute_frequency,13619480
absolute_magnitude,5098183
absolute_majority,13602270
absolute_pitch,5665951
absolute_scale,13875199
absolute_space,29306
absolute_temperature,5020279
absolute_threshold,5720506
absolute_value,13602668
absolute_viscosity,13610343
absolute_zero,5020388
absoluteness,5131799
absoluteness,4745638
absolution,14597894
absolution,95060
absolutism,14467378
absolutism,8457622
absolutism,6223441
absolutism,5967204
absolutist,9774729
absolver,9774886
absorbance,5096574
absorbate,14621808
absorbency,4948141
absorbent,14621593
absorbent_cotton,14622431
absorbent_material,14621593
absorber,14622259
absorptance,13607658
absorption,13445095
absorption,13445356
absorption,13456051
absorption,13455861
absorption,5712213
absorption,5708052
absorption_band,11440745
absorption_coefficient,13607658
absorption_factor,5017246
absorption_indicator,14622563
absorption_spectrum,11441328
absorption_unit,13621114
absorptivity,5017246
abstainer,9777504
abstainer,9777275
abstemiousness,5121562
abstemiousness,4891137
abstention,4889817
abstinence,4889817
abstinence,1070697
abstinent,9777275
abstract,5862715
abstract,6480622
abstract_art,2671709
abstract_artist,9777755
abstract_entity,2137
abstract_expressionism,2671377
abstract_thought,5780353
abstractedness,5708590
abstracter,9774417
abstraction,5862715
abstraction,393656
abstraction,5788101
abstraction,2671631
abstraction,5708590
abstraction,2137
abstractionism,2671709
abstractionism,5949587
abstractionist,9777755
abstractness,4769389
abstractor,9774417
abstruseness,4830647
abstruseness,5934990
abstrusity,5934990
absurd,13951224
absurdity,6620162
absurdity,4898878
absurdness,6620162
abu_ali_al-husain_ibn_abdallah_ibn_sina,10849337
abu_dhabi,9067011
abu_hafs_al-masri_brigades,8027096
abu_nidal_organization,8036995
abu_sayyaf,8027291
abudefduf,2609975
abudefduf_saxatilis,2610100
abuja,8996541
abukir,9209122
abukir_bay,9209122
