Word,Length,Use_rate
abruptio_placentae,17,333335
abruption,9,179025
abruptly-pinnate_leaf,20,333336
abruptness,10,196689
abruzzi,7,104977
abruzzi_e_molise,14,333337
abs,3,7354
abscess,7,37807
abscessed_tooth,14,333338
abscissa,8,115475
abscission,10,229805
absconder,9,314956
abscondment,11,333339
abseil,6,134188
abseiler,8,333340
absence,7,4642
absence_seizure,14,333341
absence_without_leave,19,333342
absentee,8,23207
absentee_ballot,14,333343
absentee_rate,12,333344
absenteeism,11,44570
absentmindedness,16,333345
absinth,7,106205
absinthe,8,35444
absinthe_oil,11,333346
absolute,8,4304
absolute_alcohol,15,333347
absolute_ceiling,15,333348
absolute_frequency,17,333349
absolute_magnitude,17,333350
absolute_majority,16,333351
absolute_pitch,13,333352
absolute_scale,13,333353
absolute_space,13,333354
absolute_temperature,19,333355
absolute_threshold,17,333356
absolute_value,13,333357
absolute_viscosity,17,333358
absolute_zero,12,333359
absoluteness,12,250499
absolution,10,57038
absolutism,10,90320
absolutist,10,91527
absolver,8,333360
absorbance,10,50947
absorbate,9,333361
absorbency,10,98212
absorbent,9,30178
absorbent_cotton,15,333362
absorbent_material,17,333363
absorber,8,30528
absorptance,11,333364
absorption,10,9691
absorption_band,14,333365
absorption_coefficient,21,333366
absorption_factor,16,333367
absorption_indicator,19,333368
absorption_spectrum,18,333369
absorption_unit,14,333370
absorptivity,12,257856
abstainer,9,333371
abstemiousness,14,333372
abstention,10,64813
abstinence,10,24124
abstinent,9,129529
abstract,8,1475
abstract_art,11,333373
abstract_artist,14,333374
abstract_entity,14,333375
abstract_expressionism,21,333376
abstract_thought,15,333377
abstractedness,14,333378
abstracter,10,333379
abstraction,11,15864
abstractionism,14,333380
abstractionist,14,333381
abstractness,12,194988
abstractor,10,172607
abstruseness,12,333382
abstrusity,10,333383
absurd,6,16818
absurdity,9,37614
absurdness,10,333384
abu_ali_al-husain_ibn_abdallah_ibn_sina,33,333385
abu_dhabi,8,333386
abu_hafs_al-masri_brigades,23,333387
abu_nidal_organization,20,333388
abu_sayyaf,9,333389
abudefduf,9,333390
abudefduf_saxatilis,18,333391
abuja,5,51467
abukir,6,333392
abukir_bay,9,333393
abul-walid_mohammed_ibn-ahmad_ibn-mohammed_ibn-roshd,48,333394
abulia,6,333395
abundance,9,10239
abuse,5,2225
abuser,6,43402
abutilon,8,163576
abutilon_theophrasti,19,333396
abutment,8,71072
abutment_arch,12,333397
abutter,7,296528
abvolt,6,333398
abwatt,6,333399
aby_moritz_warburg,16,333400
aby_warburg,10,333401
abydos,6,115444
abyla,5,333402
abysm,5,333403
abyss,5,24213
abyssal_zone,11,333404
abyssinia,9,109918
abyssinian,10,86215
abyssinian_banana,16,333405
abyssinian_cat,13,333406
acacia,6,25651
acacia_auriculiformis,20,333407
acacia_cambegei,14,333408
acacia_catechu,13,333409
acacia_dealbata,14,333410
acacia_farnesiana,16,333411
acacia_melanoxylon,17,333412
acacia_pycnantha,15,333413
acacia_xanthophloea,18,333414
academe,7,45749
academia,8,16577
